person,CantidadEventos,CantidadCompras,CantidadLeads,VentasHaceUnMes,LeadsHaceUnMes,VentasHaceDosMeses,LeadsHaceDosMeses,CantidadCheckouts,VentasMes1,VentasMes2,VentasMes3,VentasMes4,PromedioVentasPorMes,DiasDesdeUltimoEvento,DiasDesdePrimerEvento,DiasDesdeUltimaConversion,CantidadSearchEngineHits,EntraronMasDeUnaVez,DiasDesdeUltimoCheckout,EntraronConComputadora,EntraronConSmartphone,EntraronConTablet,CantidadAdHits,DiasDesdeUltimoAdHit,DiasDesdeUltimaBusqueda,CantidadDeColoresVistos
00091926,448,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,10000.0,0.0,1.0,6.0,1.0,0.0,0.0,15.0,1.0,1000.0,20
00091a7a,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0,1.0,67.0,1000.0,3
000ba417,206,1.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.2,6.0,15.0,6.0,1.0,1.0,6.0,1.0,0.0,0.0,1.0,15.0,1000.0,20
000e4d9e,411,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,10000.0,5.0,1.0,16.0,1.0,0.0,0.0,19.0,10.0,1000.0,12
000e619d,68,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,10000.0,3.0,1.0,15.0,1.0,0.0,0.0,6.0,14.0,14.0,9
001001be,68,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2,10.0,16.0,16.0,0.0,1.0,16.0,0.0,1.0,0.0,0.0,1000.0,16.0,3
0010e89a,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10000.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1000.0,1
0016c4b5,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,10000.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,1000.0,1
001804a2,4,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,4.0,7.0,7.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1000.0,1000.0,1
001a2273,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,10000.0,4.0,0.0,12.0,0.0,1.0,0.0,4.0,12.0,1000.0,2
00202cdb,30,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,10000.0,0.0,1.0,17.0,0.0,1.0,0.0,10.0,17.0,1000.0,4
0022965d,189,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,10000.0,43.0,1.0,8.0,1.0,0.0,0.0,48.0,1.0,1000.0,4
0027574e,156,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,24.0,10000.0,0.0,1.0,15.0,1.0,0.0,0.0,0.0,1000.0,15.0,14
00295d74,18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,10000.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,3.0,1000.0,4
002aea56,283,4.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.8,16.0,127.0,121.0,2.0,1.0,16.0,1.0,0.0,0.0,14.0,29.0,127.0,13
002ed810,57,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.4,3.0,42.0,3.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,1000.0,7.0,5
002fb981,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,10000.0,7.0,1.0,9.0,0.0,1.0,0.0,6.0,3.0,33.0,4
00344873,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,10000.0,1.0,0.0,16.0,1.0,0.0,0.0,1.0,16.0,1000.0,5
0038a117,280,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.2,2.0,136.0,132.0,9.0,1.0,132.0,1.0,0.0,0.0,9.0,10.0,10.0,13
