person,CantidadEventos,CantidadCompras,CantidadLeads,VentasHaceUnMes,LeadsHaceUnMes,VentasHaceDosMeses,LeadsHaceDosMeses,CantidadCheckouts,VentasMes1,VentasMes2,VentasMes3,VentasMes4,PromedioVentasPorMes,DiasDesdeUltimoEvento,DiasDesdePrimerEvento,DiasDesdeUltimaConversion,CantidadSearchEngineHits,EntraronMasDeUnaVez,DiasDesdeUltimoCheckout,EntraronConComputadora,EntraronConSmartphone,EntraronConTablet,CantidadAdHits,DiasDesdeUltimoAdHit,DiasDesdeUltimaBusqueda,CantidadDeColoresVistos,CantidadDiasDiferentesDeVisita,CantidadDeModelosVistos,EsDeBrazil,apple,asus,blackberry,lenovo,lg,motorola,quantum,samsung,sony,bcm,vam,vao,coam,coao,cam,cao,lam,lao
00091926,448,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,10000.0,0.0,1.0,6.0,1.0,0.0,0.0,15.0,1.0,1000.0,20,22,36,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00091a7a,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0,1.0,67.0,1000.0,3,1,3,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000ba417,206,1.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.2,6.0,15.0,6.0,1.0,1.0,6.0,1.0,0.0,0.0,1.0,15.0,1000.0,20,3,26,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000e4d9e,411,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,10000.0,5.0,1.0,16.0,1.0,0.0,0.0,19.0,10.0,1000.0,12,9,37,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000e619d,68,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,10000.0,3.0,1.0,15.0,1.0,0.0,0.0,6.0,14.0,14.0,9,4,23,1.0,0,0,0,0,0,0,0,1,0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
001001be,68,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2,10.0,16.0,16.0,0.0,1.0,16.0,0.0,1.0,0.0,0.0,1000.0,16.0,3,3,3,1.0,12,0,0,0,0,0,0,0,0,12.0,36.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
0010e89a,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10000.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0016c4b5,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,10000.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001804a2,4,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,4.0,7.0,7.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1000.0,1000.0,1,2,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001a2273,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,10000.0,4.0,0.0,12.0,0.0,1.0,0.0,4.0,12.0,1000.0,2,1,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00202cdb,30,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,10000.0,0.0,1.0,17.0,0.0,1.0,0.0,10.0,17.0,1000.0,4,2,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022965d,189,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,10000.0,43.0,1.0,8.0,1.0,0.0,0.0,48.0,1.0,1000.0,4,17,7,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0027574e,156,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,24.0,10000.0,0.0,1.0,15.0,1.0,0.0,0.0,0.0,1000.0,15.0,14,5,25,1.0,0,1,0,0,0,0,0,0,0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
00295d74,18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,10000.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,3.0,1000.0,4,1,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002aea56,283,4.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.8,16.0,127.0,121.0,2.0,1.0,16.0,1.0,0.0,0.0,14.0,29.0,127.0,13,20,21,1.0,1,0,0,0,0,0,0,0,0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002ed810,57,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.4,3.0,42.0,3.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,1000.0,7.0,5,4,6,1.0,2,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
002fb981,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,10000.0,7.0,1.0,9.0,0.0,1.0,0.0,6.0,3.0,33.0,4,6,3,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00344873,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,10000.0,1.0,0.0,16.0,1.0,0.0,0.0,1.0,16.0,1000.0,5,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0038a117,280,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.2,2.0,136.0,132.0,9.0,1.0,132.0,1.0,0.0,0.0,9.0,10.0,10.0,13,21,27,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003a05bf,87,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,32.0,10000.0,3.0,1.0,14.0,0.0,1.0,0.0,0.0,1000.0,1000.0,4,7,4,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003d07ef,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,10000.0,1.0,0.0,10000.0,0.0,1.0,0.0,0.0,1000.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003e7507,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,10000.0,1.0,0.0,17.0,0.0,1.0,0.0,1.0,17.0,1000.0,3,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00408349,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,10000.0,2.0,1.0,16.0,0.0,1.0,0.0,6.0,2.0,1000.0,3,3,3,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0041fec6,48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,10000.0,1.0,1.0,11.0,1.0,0.0,0.0,1.0,11.0,10.0,5,4,6,1.0,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0043a48e,34,3.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.6,14.0,17.0,16.0,0.0,1.0,16.0,0.0,1.0,0.0,3.0,15.0,14.0,2,4,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00546f4c,480,4.0,1.0,1.0,0.0,2.0,0.0,13.0,0.0,1.0,1.0,1.0,0.8,1.0,149.0,12.0,11.0,1.0,12.0,1.0,1.0,0.0,24.0,38.0,12.0,12,41,34,1.0,5,0,0,0,0,2,0,17,0,24.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
00556ee5,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,104.0,10000.0,1.0,1.0,17.0,0.0,1.0,0.0,6.0,17.0,17.0,3,4,4,1.0,1,0,0,0,0,0,0,0,0,1.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
0059a996,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,10000.0,1.0,1.0,10000.0,1.0,0.0,0.0,1.0,6.0,1000.0,5,2,7,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
005af223,79,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,90.0,10000.0,14.0,1.0,21.0,0.0,1.0,0.0,18.0,18.0,50.0,5,12,4,1.0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
005e06ef,39,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,10000.0,1.0,1.0,14.0,1.0,0.0,0.0,0.0,1000.0,1000.0,3,3,4,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0061cbe8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0,1.0,4.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
006549da,85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,59.0,10000.0,3.0,1.0,13.0,1.0,0.0,0.0,3.0,13.0,13.0,11,4,16,1.0,2,0,0,0,0,0,0,0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
006bb312,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,10000.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1000.0,8.0,1,1,1,1.0,1,0,0,0,0,0,0,0,0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
006cabc5,108,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,52.0,146.0,10000.0,1.0,1.0,52.0,1.0,0.0,0.0,1.0,146.0,1000.0,12,2,14,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
006e1534,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,10000.0,0.0,1.0,6.0,0.0,1.0,0.0,4.0,6.0,1000.0,2,1,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
006fc943,268,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,44.0,10000.0,10.0,1.0,41.0,0.0,1.0,0.0,49.0,11.0,11.0,6,13,8,1.0,0,0,0,0,0,0,0,26,0,26.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
00750af8,92,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,7.0,71.0,8.0,8.0,1.0,8.0,0.0,1.0,0.0,5.0,8.0,8.0,7,7,5,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00754f5e,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,10000.0,1.0,1.0,17.0,1.0,0.0,0.0,4.0,17.0,1000.0,2,1,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0076b7dc,85,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,5.0,64.0,12.0,9.0,1.0,12.0,0.0,1.0,0.0,10.0,11.0,12.0,4,7,5,1.0,21,0,0,0,0,0,0,0,0,21.0,17.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
007743ca,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,10000.0,1.0,0.0,9.0,0.0,1.0,0.0,3.0,9.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
